Código OACI;CIAD;Nome;Município;UF;Tipo;LATGEOPOINT;LONGEOPOINT;Latitude;Longitude;Altitude;Operação Diurna;Operação Noturna;Rampa de Aproximação;Formato da Área de Pouso;Dimensões;Resistência do Pavimento;Superfície;Validade do Registro;Portaria de Registro;Link Portaria;Luzes de Aproximação;Luzes de Área de Toque e Elevação Inicial (TLOF);Indicador Visual de Rampa de Aproximação;Luzes Indicadoras de Área de Aproximação Final de Decolagem (FATO);Luzes de Obstáculo;Luzes de Ponto de Visada de Heliponto;TIPO_USO;id;categoria;parent_id;name;Label
SDDY;SP0312;Cesari;CUBATÃO;São Paulo;No solo;-23.823611;-46.367778;"23°49'25.0""S";"046°22'04.0""W";75,0;VFR;VFR;7;Quadrado;24 m;6,00;Grama;06/02/2025;PA2015-0282;https://pergamum.anac.gov.br/arquivos/PA2015-0282.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDEA;SP0313;Edifício HSBC Tower;SÃO PAULO;São Paulo;Elevado;-23.583056;-46.683889;"23°34'59.0""S";"046°41'02.0""W";798,0;VFR;VFR;14;Quadrado;20,5 m;5,00;Concreto;01/10/2023;PA2013-2551;https://pergamum.anac.gov.br/arquivos/PA2013-2551.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDEE;SP0314;Iguatemi Esplanada;VOTORANTIM;São Paulo;Elevado;-23.536111;-47.464444;"23°32'10.0""S";"047°27'52.0""W";719,0;VFR;VFR;27;Quadrado;21 m;4,50;Concreto;23/07/2025;PA2015-1946;https://pergamum.anac.gov.br/arquivos/PA2015-1946.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDEF;SP0315;Eco Fly;FERRAZ DE VASCONCELOS;São Paulo;Elevado;-23.532222;-46.386111;"23°31'56.0""S";"046°23'10.0""W";796,0;VFR;VFR;3 18;Quadrado;21 m;4,50;Concreto;27/11/2024;PA2014-2821;https://pergamum.anac.gov.br/arquivos/PA2014-2821.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDEG;SP0316;Evolution Corporate;BARUERI;São Paulo;Elevado;-23.504444;-46.851111;"23°30'16.0""S";"046°51'04.0""W";915,0;VFR;VFR;28;Quadrado;24 m;10,00;Concreto;04/02/2024;PA2014-0289;https://pergamum.anac.gov.br/arquivos/PA2014-0289.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDEI;SP0317;Canopus Corporate Alphaville;BARUERI;São Paulo;Elevado;-23.503889;-46.844722;"23°30'14.0""S";"046°50'41.0""W";867,0;VFR;VFR;6 21;Quadrado;21 m;4,00;Concreto;04/02/2023;PA2015-0290;https://pergamum.anac.gov.br/arquivos/PA2015-0290.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDEK;SP0318;Barra do Una;SÃO SEBASTIÃO;São Paulo;No solo;-23.735833;-45.746944;"23°44'09.1""S";"045°44'49.0""W";12,0;VFR;VFR;7 24;Quadrado;21 m;4,00;Grama;;;;;;;;;;Privado;62;3;4;Helipontos;
SDEL;SP0319;Condomínio Edifício Spazio JK;SÃO PAULO;São Paulo;Elevado;-23.591111;-46.685556;"23°35'28.0""S";"046°41'08.0""W";818,0;VFR;VFR;15 36;Quadrado;21 m;4,50;Concreto;06/03/2023;PA2017-0153;https://pergamum.anac.gov.br/arquivos/PA2017-0153.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDEU;SP0320;Empresarial Anhanguera;CAJAMAR;São Paulo;No solo;-23.384722;-46.831667;"23°23'05.0""S";"046°49'54.0""W";810,0;VFR;;3;Quadrado;18 m;4,00;Concreto;;;;;;;;;;Privado;62;3;4;Helipontos;
SDEW;SP0321;Júlio Simões - Garagem;MOGI DAS CRUZES;São Paulo;No solo;-23.541667;-46.229167;"23°32'30.8""S";"046°13'45.5""W";750,0;VFR;VFR;33;Quadrado;20 m;3,00;Concreto;17/07/2025;PA2015-1888;https://pergamum.anac.gov.br/arquivos/PA2015-1888.pdf;;;;;;;Privado;62;3;4;Helipontos;
