"geometriaa","tipovia","jurisdicao","administra","concession","revestimen","operaciona","situacaofi","canteirodi","nrpistas","nrfaixas","trafego","tipopavime","sigla","acostament","codtrechor","limitevelo","emperimetr","categoria","parent_id","name","label","id"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Privada                                                                         ","Rodovia das Colinas                                                                                 ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","SP-075                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","SP-075                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Privada                                                                         ","Rodovia das Colinas                                                                                 ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","SP-075                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","SP-075                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","SP-308                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","SP-308                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","SP-308                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","SP-308                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Sim                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","GO-230                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","GO-230                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","BA-026                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","BA-026                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","BA-148                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","BA-148                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","MG-642                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","MG-642                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","BA-695                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","BA-695                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Asfalto                                                                         ","RO-010                     ","Sim                                                                             ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","RO-010                                            ","27"
